baseline,stddev,threshold,reset_threshold,run_start_time,is_leader
775.0, 9.3, 975, 825, 2024-11-01T18:06:41.482495-04:00, 1
Muon Count,ADC,temperature_ADC,dt,t,t_wait,coinc
289, 22549, 15027, 157, 162867, 67, 0
290, 2000, 15027, 684, 163551, 87, 0
291, 11410, 15027, 597, 164148, 74, 0
292, 1280, 15043, 166, 164314, 91, 0
293, 1344, 15027, 126, 164440, 90, 0
294, 22629, 15027, 943, 165383, 67, 0
295, 13779, 15027, 1162, 166545, 71, 0
296, 2080, 15027, 216, 166761, 86, 0
297, 3328, 15027, 56, 166817, 74, 1
298, 29399, 15043, 228, 167045, 50, 1
299, 1216, 15027, 157, 167202, 91, 0
300, 15683, 15027, 621, 167823, 69, 0
301, 19012, 15027, 1923, 169746, 68, 0
302, 1008, 15027, 555, 170301, 95, 0
303, 3632, 15027, 160, 170461, 81, 0
304, 16580, 15027, 399, 170860, 70, 0
305, 1824, 15027, 282, 171142, 88, 0
306, 2880, 15027, 2660, 173802, 83, 0
307, 1360, 15027, 265, 174067, 90, 0
308, 11106, 15027, 132, 174199, 73, 0
309, 1024, 15027, 1111, 175310, 96, 0
310, 40809, 15027, 687, 175997, 62, 0
311, 1296, 15027, 240, 176237, 91, 0
312, 8418, 15011, 17, 176254, 75, 0
313, 19908, 15027, 323, 176577, 68, 0
314, 3872, 15027, 308, 176885, 81, 0
315, 3792, 14995, 99, 176984, 81, 0
316, 3216, 15011, 351, 177335, 82, 0
317, 1424, 15043, 410, 177745, 90, 0
318, 4385, 15027, 475, 178220, 80, 0
319, 1920, 15027, 383, 178603, 86, 0
320, 20965, 15027, 173, 178776, 68, 0
321, 19108, 15027, 559, 179335, 68, 0
322, 2640, 15027, 1009, 180344, 84, 0
323, 38249, 15011, 29, 180373, 45, 1
324, 2384, 15027, 1008, 181381, 84, 0
325, 3024, 15027, 573, 181954, 83, 0
326, 3856, 15027, 621, 182575, 82, 0
327, 1792, 15027, 76, 182651, 87, 0
328, 1552, 15027, 1121, 183772, 89, 0
329, 6721, 15027, 2058, 185830, 77, 0
330, 1088, 15027, 797, 186627, 93, 0
331, 37017, 15027, 256, 186883, 65, 0
332, 1248, 15027, 2640, 189523, 91, 0
333, 2656, 15027, 206, 189729, 84, 0
334, 13203, 15027, 47, 189776, 70, 0
335, 21653, 15027, 50, 189826, 54, 1
336, 1440, 15027, 381, 190207, 89, 0
337, 14707, 15027, 694, 190901, 58, 1
338, 1152, 15027, 265, 191166, 93, 0
339, 6385, 15011, 482, 191648, 77, 0
340, 1088, 15027, 987, 192635, 94, 0
341, 2912, 15027, 176, 192811, 83, 0
342, 1408, 15027, 205, 193016, 90, 0
343, 1200, 15011, 793, 193809, 93, 0
344, 1184, 15027, 476, 194285, 93, 0
345, 1040, 15027, 114, 194399, 94, 0
346, 12547, 15027, 160, 194559, 72, 0
347, 7761, 15027, 1797, 196356, 78, 0
348, 1328, 15027, 495, 196851, 91, 0
349, 2432, 15027, 583, 197434, 85, 0
350, 8001, 15027, 547, 197981, 75, 0
351, 8177, 15011, 1529, 199510, 75, 0
352, 1552, 15027, 315, 199825, 89, 0
353, 27702, 15027, 1124, 200949, 51, 1
354, 1216, 15027, 1159, 202108, 92, 0
355, 1088, 15027, 570, 202678, 94, 0
356, 7409, 15027, 274, 202952, 76, 0
357, 8402, 15027, 425, 203377, 75, 0
358, 2112, 15011, 382, 203759, 87, 0
359, 13267, 15011, 275, 204034, 70, 0
360, 1040, 15011, 501, 204535, 94, 0
361, 1040, 15027, 754, 205289, 94, 0
362, 1344, 15027, 6, 205295, 91, 0
363, 3232, 15011, 720, 206015, 84, 0
364, 11058, 15011, 716, 206731, 71, 0
365, 4753, 15027, 69, 206800, 79, 0
366, 976, 15027, 127, 206927, 95, 0
367, 2480, 15027, 369, 207296, 84, 0
368, 23909, 15027, 209, 207505, 66, 0
369, 1056, 15011, 469, 207974, 94, 0
370, 2752, 15027, 313, 208287, 83, 0
371, 19908, 15027, 850, 209137, 68, 0
372, 9266, 15027, 52, 209189, 74, 0
373, 10338, 15027, 74, 209263, 73, 0
374, 7025, 15027, 47, 209310, 75, 0
375, 38857, 15027, 512, 209822, 45, 1
376, 3536, 15027, 762, 210584, 82, 0
377, 1600, 15011, 8, 210592, 88, 0
378, 2960, 15027, 232, 210824, 82, 0
379, 7425, 15027, 403, 211227, 76, 0
380, 3728, 15027, 11, 211238, 82, 0
381, 1936, 15011, 523, 211761, 86, 0
382, 3424, 15011, 654, 212415, 81, 0
383, 1248, 15027, 389, 212804, 91, 0
384, 23557, 15027, 259, 213063, 53, 1
385, 4193, 15011, 391, 213454, 80, 0
386, 22821, 15027, 788, 214242, 66, 0
387, 18116, 15011, 87, 214329, 68, 0
388, 11106, 15027, 1219, 215548, 72, 0
389, 3120, 15011, 271, 215819, 83, 0
390, 6225, 15011, 831, 216650, 78, 0
391, 7857, 14995, 210, 216860, 75, 0
